1667657622,18937,19437,5921,17563,5834,5789
1667657671,19437,20000,5906,17572,5839,5818
1667658292,19562,19875,5889,17569,5834,5823
1667658888,19562,19812,5882,17568,5839,5817
1667659484,19875,19750,5899,17569,5834,5815
1667660025,13625,19125,5932,17565,5893,6012
1667660620,9750,18250,5982,17568,5907,5839
1667661216,9500,18187,5992,17567,5914,5808
1667661813,9312,18187,5922,17568,5850,5985
1667662409,9062,18125,5995,17567,5907,5808
1667663006,8937,18062,5966,17567,5889,5840
1667663603,8562,18000,5930,17567,5848,5983
1667664200,8437,19625,5913,17571,5843,5974
1667664796,8312,18500,5928,17569,5860,5940
1667665392,8125,18187,6011,17567,5904,5812
1667665989,8062,18125,6003,17564,5916,5803
1667666585,7750,18125,6001,17565,5906,5810
1667667182,7687,17937,5993,17565,5909,5843
1667667778,7437,17750,6009,17564,5908,5815
1667668375,7375,17875,5945,17566,5873,5898
1667668972,7250,19562,5926,17569,5859,5953
1667669573,7375,20000,5894,17573,5851,5945
1667670167,7062,18812,5983,17568,5900,5809
1667670763,7375,18562,5935,17569,5875,5897
1667671359,7562,18437,5993,17566,5913,5804
1667671956,7562,18375,5998,17566,5907,5813
1667672552,7625,18250,5991,17564,5912,5832
1667673149,7562,18250,5920,17569,5851,5982
1667673745,7625,18187,5993,17565,5917,5814
1667674342,7687,18187,5909,17567,5854,5957
1667674939,7625,18187,5992,17564,5918,5808
1667675535,7687,18125,5975,17565,5895,5883
1667676132,7562,18062,5985,17566,5908,5813
1667676728,7562,18062,5923,17568,5856,5968
1667677325,7500,17937,5986,17566,5913,5816
1667677922,7312,18000,5970,17565,5893,5893
1667678518,7375,18000,5991,17565,5916,5834
1667679115,7437,17937,5996,17565,5915,5806
1667679712,7375,18000,5922,17568,5855,5974
1667680308,7437,17937,5965,17567,5892,5850
1667680905,7375,17937,5937,17567,5870,5915
1667681502,7375,18000,5930,17567,5857,5974
1667682098,7437,17937,5981,17565,5898,5878
1667682695,7312,17937,6002,17565,5919,5807
1667683291,7125,17937,5911,17565,5860,5961
1667683888,7062,17875,5997,17565,5915,5809
1667684485,7187,17875,6006,17564,5921,5807
1667685082,7125,17937,5957,17565,5874,5933
1667685679,7125,17812,5996,17564,5912,5813
1667686275,7250,17750,5931,17567,5852,5978
1667686872,7250,17875,5989,17564,5912,5852
1667687468,7125,17875,5928,17567,5850,5983
1667688065,7062,17875,5927,17567,5855,5985
1667688662,7187,17687,6003,17564,5917,5809
1667689258,7062,17562,5988,17563,5901,5875
1667689855,7187,17312,6046,11077,5971,5855
1667690451,7125,16750,6006,10266,5946,5874
1667691047,7312,16562,6009,10625,5950,5875
1667691643,7312,16500,5966,10770,5903,6036
1667692240,7312,16375,5971,10843,5906,6039
1667692837,7375,16312,6032,10192,5972,5853
1667693433,7250,16250,5959,10465,5904,6021
1667694030,7125,16187,6038,10259,5966,5867
1667694626,7062,16125,6036,10190,5964,5865
1667695223,6875,16062,6039,10098,5969,5858
1667695820,6437,15937,5961,9672,5908,6024
1667696416,6187,15937,6015,9326,5945,5887
1667697013,5937,15812,5976,9601,5911,6009
1667697609,6187,15750,6052,9829,5963,5854
1667698206,6437,15687,5966,10211,5899,6008
1667698802,6562,15750,5956,10467,5871,6022
1667699399,7000,15625,5957,10500,5887,5995
1667699996,6937,15562,6034,9819,5948,5840
1667700592,7062,15562,6029,10679,5949,5833
1667701189,7312,15562,5983,10045,5901,5971
1667701785,7312,15562,5954,10348,5886,6007
1667702382,7125,15500,5964,10199,5877,6007
1667702979,6812,15500,6047,9334,5945,5835
1667703575,6687,15500,5955,9164,5920,6003
1667704172,6250,15437,5968,9343,5918,6004
1667704768,6250,15500,6048,8829,5984,5828
1667705364,6125,15375,5989,9392,5929,5976
1667705961,6062,15312,5970,9377,5912,5990
1667706558,6187,15312,6066,8804,5976,5854
1667707154,6312,15187,6081,8744,5985,5857
1667707751,6187,15187,6085,9047,5991,5868
1667708347,6062,15187,6086,8598,5990,5855
1667708944,6062,15187,6069,8418,5991,5834
1667709541,6187,15187,6008,9140,5951,5929
1667710138,6250,15187,5999,9073,5931,5999
1667710734,6062,15187,6052,8996,5980,5846
1667711331,6125,15187,6016,9063,5969,5870
1667711927,6000,15125,6010,9113,5938,5978
1667712524,6000,15125,6061,9155,5954,5853
1667713121,6000,15062,6070,10311,5975,5886
1667713717,6062,15062,6046,12327,5972,5870
1667714314,5937,15062,5961,15111,5886,6009
1667714910,5500,15062,5970,16842,5903,6050
1667715507,5375,15000,6030,17464,5948,5931
1667716103,5187,14875,5950,17561,5888,6015
1667716700,5125,14875,6046,17560,5946,5851
1667717297,5125,14937,5950,17560,5901,6019
1667717893,5000,14875,5960,17560,5883,6034
1667718490,5125,14937,6032,17560,5956,5843
1667719087,5250,14937,5947,17560,5894,6004
1667719683,5625,14937,5962,17560,5896,6026
1667720280,6000,15000,5991,17561,5921,6023
1667720877,6500,15125,6013,17561,5933,5910
1667721474,7000,15375,6007,17561,5926,5826
1667722071,7375,15375,5940,17561,5863,6000
1667722667,8000,15375,5935,17561,5875,6002
1667723264,8250,15500,5941,17561,5884,5938
1667723861,9000,15500,6003,17561,5941,5837
1667724458,9312,15500,5931,17561,5871,6014
1667725055,9812,15562,5998,17561,5933,5825
1667725652,10062,15687,5998,17561,5939,5839
1667726248,10312,15687,5977,17562,5908,5916
1667726845,10375,15937,5912,17562,5876,5972
1667727449,10250,19625,5884,17571,5862,5965
1667727985,21187,21187,5861,17567,5839,5796
1667728082,18812,20812,5869,17569,5819,5755
1667728154,18187,21062,5876,17573,5839,5829
